movieId,name,role
1,John Lasseter,Director
1,John Lasseter,Story
1,Andrew Stanton,Screenplay
1,Andrew Stanton,Story
1,Joel Cohen,Screenplay
1,Alec Sokolow,Screenplay
1,Joss Whedon,Screenplay
1,Pete Docter,Story
1,Joe Ranft,Story
1,Tom Hanks,Actor
1,Tim Allen,Actor
1,Don Rickles,Actor
1,Jim Varney,Actor
1,Wallace Shawn,Actor
1,John Ratzenberger,Actor
1,Annie Potts,Actor
1,John Morris,Actor
1,Erik von Detten,Actor
2,Joe Johnston,Director
2,Chris Van Allsburg,Novel
2,Greg Taylor,Screenplay
2,Jonathan Hensleigh,Screenplay
2,Jim Strain,Screenplay
2,Robin Williams,Actor
2,Kirsten Dunst,Actor
2,Bradley Pierce,Actor
2,Bonnie Hunt,Actor
2,Jonathan Hyde,Actor
2,Bebe Neuwirth,Actor
2,David Alan Grier,Actor
2,Adam Hann-Byrd,Actor
2,Patricia Clarkson,Actor
3,Mark Steven Johnson,Characters
3,Mark Steven Johnson,Writer
3,Howard Deutch,Director
3,Walter Matthau,Actor
3,Jack Lemmon,Actor
3,Ann-Margret,Actor
3,Sophia Loren,Actor
3,Daryl Hannah,Actor
3,Burgess Meredith,Actor
3,Kevin Pollak,Actor
3,Katie Sagona,Actor
3,Ann Morgan Guilbert,Actor
4,Terry McMillan,Novel
4,Terry McMillan,Screenplay
4,Forest Whitaker,Director
4,Ronald Bass,Screenplay
4,Whitney Houston,Actor
4,Angela Bassett,Actor
4,Loretta Devine,Actor
4,Lela Rochon,Actor
4,Gregory Hines,Actor
4,Dennis Haysbert,Actor
4,Mykelti Williamson,Actor
4,Michael Beach,Actor
4,Leon,Actor
5,Charles Shyer,Director
5,Charles Shyer,Screenplay
5,Nancy Meyers,Screenplay
5,Steve Martin,Actor
5,Diane Keaton,Actor
5,Martin Short,Actor
5,Kimberly Williams-Paisley,Actor
5,George Newbern,Actor
5,Kieran Culkin,Actor
5,BD Wong,Actor
5,Peter Michael Goetz,Actor
5,Kate McGregor-Stewart,Actor
6,Michael Mann,Director
6,Michael Mann,Writer
6,Al Pacino,Actor
6,Robert De Niro,Actor
6,Val Kilmer,Actor
6,Jon Voight,Actor
6,Tom Sizemore,Actor
6,Diane Venora,Actor
6,Amy Brenneman,Actor
6,Ashley Judd,Actor
6,Mykelti Williamson,Actor
7,Sydney Pollack,Director
7,Barbara Benedek,Screenplay
7,David Rayfiel,Screenplay
7,Harrison Ford,Actor
7,Julia Ormond,Actor
7,Greg Kinnear,Actor
7,Nancy Marchand,Actor
7,John Wood,Actor
7,Richard Crenna,Actor
7,Angie Dickinson,Actor
7,Lauren Holly,Actor
7,Dana Ivey,Actor
8,Peter Hewitt,Director
8,Mark Twain,Novel
